Device,Protocol,Address,Age,MAC Address,Type,Interface
CE1,Internet,10.1.1.10,31,5000.0009.0000,ARPA,GigabitEthernet1
CE1,Internet,10.1.1.254,-,5000.000a.0000,ARPA,GigabitEthernet1
